2023-04-26 01:00:02.936194,0.00mps,330°,1877/2048,NNW
2023-04-26 01:30:13.401129,0.00mps,340°,1934/2048,NNW
2023-04-26 07:30:14.424328,0.00mps,0°,0/2048,N
2023-04-26 07:45:58.396781,0.00mps,290°,1650/2048,WNW
2023-04-26 08:00:03.554408,0.00mps,290°,1650/2048,WNW
2023-04-26 08:15:09.028719,0.00mps,280°,1593/2048,W
2023-04-26 08:30:13.968459,0.00mps,280°,1593/2048,W
2023-04-26 08:45:19.534495,0.00mps,320°,1820/2048,NW
2023-04-26 09:00:24.550574,0.00mps,320°,1820/2048,NW
2023-04-26 09:15:30.358075,0.00mps,310°,1764/2048,NW
2023-04-26 09:30:35.273871,0.00mps,310°,1764/2048,NW
2023-04-26 09:45:41.017589,0.00mps,300°,1707/2048,WNW
2023-04-26 10:00:46.085720,0.00mps,300°,1707/2048,WNW
2023-04-26 10:15:52.904336,0.00mps,290°,1650/2048,WNW
2023-04-26 10:30:57.958345,0.00mps,290°,1650/2048,WNW
2023-04-26 10:45:02.666947,0.00mps,290°,1650/2048,WNW
2023-04-26 11:00:08.276210,0.00mps,290°,1650/2048,WNW
2023-04-26 11:15:15.754322,0.00mps,270°,1536/2048,W
2023-04-26 11:30:20.516590,0.00mps,270°,1536/2048,W
2023-04-26 11:45:26.243242,0.00mps,280°,1593/2048,W
2023-04-26 12:00:31.223717,0.00mps,280°,1593/2048,W
2023-04-26 12:15:36.889787,0.00mps,270°,1536/2048,W
2023-04-26 12:30:41.797160,0.00mps,270°,1536/2048,W
2023-04-26 12:45:48.278056,0.00mps,260°,1479/2048,W
2023-04-26 13:00:53.001241,0.00mps,260°,1479/2048,W
2023-04-26 13:15:00.958246,0.00mps,270°,1536/2048,W
2023-04-26 13:30:07.646965,0.00mps,270°,1536/2048,W
2023-04-26 13:45:04.057808,5.66mps,290°,1650/2048,WNW
2023-04-26 14:00:10.314989,5.66mps,290°,1650/2048,WNW
2023-04-26 14:15:15.333830,4.12mps,290°,1650/2048,WNW
2023-04-26 14:30:20.061719,4.12mps,290°,1650/2048,WNW
2023-04-26 14:45:25.378229,6.17mps,280°,1593/2048,W
2023-04-26 15:00:30.382537,6.17mps,280°,1593/2048,W
2023-04-26 15:15:35.163294,6.17mps,280°,1593/2048,W
2023-04-26 15:30:39.913951,6.17mps,280°,1593/2048,W
2023-04-26 15:45:45.991397,5.14mps,300°,1707/2048,WNW
2023-04-26 16:00:50.898761,5.14mps,300°,1707/2048,WNW
2023-04-26 16:15:56.793396,6.69mps,280°,1593/2048,W
2023-04-26 16:30:01.338264,6.69mps,280°,1593/2048,W
2023-04-26 16:45:07.196105,7.72mps,280°,1593/2048,W
2023-04-26 17:00:12.249178,7.72mps,280°,1593/2048,W
2023-04-26 17:15:17.219456,7.72mps,280°,1593/2048,W
2023-04-26 17:30:22.006409,7.72mps,280°,1593/2048,W
2023-04-26 17:45:27.175594,8.23mps,280°,1593/2048,W
2023-04-26 18:00:32.106106,8.23mps,280°,1593/2048,W
2023-04-26 18:15:37.104592,7.72mps,280°,1593/2048,W
2023-04-26 18:30:42.083012,7.72mps,280°,1593/2048,W
2023-04-26 18:45:47.371019,6.69mps,290°,1650/2048,WNW
2023-04-26 19:00:52.522049,6.69mps,290°,1650/2048,WNW
2023-04-26 19:15:57.361362,7.72mps,290°,1650/2048,WNW
2023-04-26 19:30:02.066594,7.72mps,290°,1650/2048,WNW
2023-04-26 19:45:08.868217,6.69mps,280°,1593/2048,W
2023-04-26 20:00:14.299669,6.69mps,280°,1593/2048,W
2023-04-26 20:15:19.284234,6.17mps,280°,1593/2048,W
2023-04-26 20:30:25.821114,6.17mps,280°,1593/2048,W
2023-04-26 20:45:30.633531,6.17mps,280°,1593/2048,W
